,Name,Price,Description,Size,Color,Variant
0,Foreign Fortune Collection Joggers- Adult,$180.00,Our Foreign Fortune Collection Joggers are great for the entire family. Very comfortable and versatile. They come in 5 different colors and can be worn during any season.,XS M L XL 2X 3X 4X 5X,Black Green Grey Navy Blue Red Yellow,Hood Crewneck
1,FOREIGN ROVALF OUTFIT,$150.00,,xs s m l xl 2x 3x 4x 5x,black purple figi blue tiffany blue white red lime green,
2,Foreign Luxury Tracksuits,$150.00,"Foreign luxury tracksuits are unisex tracksuits that are lightweight and great material. Great for all occasions, can be dressed up or down. For custom colors please contact us ( allow up to 14 days for processing and shipping ).",S M L XL 2X,Black/White Purple/Gray/White Cream/Brown/White,
3,FF Coats,$200.00,Our Signature FF coats are great for the winter and going into the spring season. They come in four colors and stop at mid hip length. They are versatile and unisex as well. Top off your coat with the matching hat as well.,Black Red Cream Blue,XS M L XL 2X 3X,
4,Foreign Language Hoodie,$80.00,,S M L XL 2X 3X 4X,Red Black Olive Green Royal Off-White,
5,Detroit Foreign Everybody Logo Tees,$25.00,,XS S M L XL 2X 3X,Black/White White/Black,
6,Foreign Fortune Collection Short Sets,$150.00,"Our most popular collection now includes short sets, just in time for summer. These sets feature light cotton material with embossed font and deep pockets.",Tan Cream White Black Grey,XS S M L XL 2X 3X,
7,Long Socks (Muti Color),$15.00,,5-6 7-8 9-10 11-12,Black/white white/black black/red black/royal black/lime black/pink black/orange white/red,
8,Foreign Fortune Two Piece Yoga Set,$60.00,,S M L XL,Peach Orange Yellow Black Purple Blue Pink Red Lime Green,
9,Foreign Fortune Lipgloss,$10.00,,Clear Clear w/glitter,,
10,Foreign Fortune BodySuit,$60.00,,S M L XL,Pink Tiffany Blue Lime Green Black Yellow,
11,Foreign Rovalf Bodysuit,$60.00,,Red/Yellow-Blue/Yellow Blue/Yellow-Yellow/Purple Blue/Peach-Purple/Orange Blue/Lime Green-Turquoise/Pink Lime Green/Yellow-Yellow/Pink,S M L XL,
12,Foreign Fortune Swimsuits,$40.00,,S M L,Blue Black Red Pink Yellow,
13,Foreign Fortune Collection Joggers- Kid,$90.00,"Our Foreign Fortune Collection Joggers are great for men women and kids. They are versatile, comfortable and come in 5 colors. Great for all seasons.",Black Grey Tan Cream Green Red Yellow,1/2T 3/4T 5/6 7/8 9/10 11/12,
14,Kids Tracksuit,$60.00,,2/3T 4/5T 6/7 8/9 10/11 12/13 14/15,Black/White Red/White Navy/White Yellow/White Orange/White Pink/White,
15,FF Coats,$200.00,Our Signature FF coats are great for the winter and going into the spring season. They come in four colors and stop at mid hip length. They are versatile and unisex as well. Top off your coat with the matching hat as well.,Black Red Cream Blue,XS M L XL 2X 3X,
16,FF Hats,$85.00,"Our Signature FF Hats are a great addition to wear with our coats. They are warm, lightweight and come in different colors.",Black Red Blue Tan,,
17,Foreign Fortune Bucket Hats,$100.00,Reversible Foreign Fortune Bucket hats. One size fits all.,Red Pink Blue Black Yellow,,
18,Foreign Fortune Dab Hats,$65.00,Our dab hats come in a variety of colors with an adjustable clamp on back to loosen or tighten according to your head size and shape.,BLACK BLUE Cream Red,,
19,Foreign Fortune Ski Mask,$50.00,,One Size Fits All,Black,
20,Foreign Fortune Collection Joggers- Kid,$90.00,"Our Foreign Fortune Collection Joggers are great for men women and kids. They are versatile, comfortable and come in 5 colors. Great for all seasons.",Black Grey Tan Cream Green Red Yellow,1/2T 3/4T 5/6 7/8 9/10 11/12,
21,Foreign Fortune Collection Joggers- Adult,$180.00,Our Foreign Fortune Collection Joggers are great for the entire family. Very comfortable and versatile. They come in 5 different colors and can be worn during any season.,XS M L XL 2X 3X 4X 5X,Black Green Grey Navy Blue Red Yellow,Hood Crewneck
22,Foreign Palm Trees Hoodie,$200.00,,XS S M L XL 2X 3X 4X 5X,,
23,Rovalf palm tree Hoodies,$200.00,,XS S M L XL 2X 3X 4X 5X,Purple Peach,
24,Foreign Rovalf Outfits,$250.00,,XS S M L XL 2X 3X 4X 5X,Off-White Black Red Tiffany blue Lime Purple Figi Blue,
25,Never Give Up,$350.00,,,,
26,Foreign Rovalf Short Sets,$200.00,,XS S M L XL 2X 3X 4X 5X,Off-White black yellow Pink,
27,Foreign Rovalf yacht Fit,$300.00,,XS S M L XL 2X 3X 4X 5X,,
28,Foreign Rovalf (Chanel Coogi) outfit,$400.00,,XS S M L XL 2X 3X 4X 5X,,
29,Foreign Yak Outfit,$250.00,,XS S M L XL 2X 3X 4X 5X,,
30,Foreign 3 piece Bag Set,"$1,000.00",,Black Lime,,
31,Lighter Holder w/String,$10.00,,,,
32,Cell phone popper’s,$5.00,,Black red white blue,,
33,Foreign Fortune Character Lighters,$20.00,,Simpson BettyBoop PJs Boondocks BeBe’s Kids,,
34,FOREIGN KEYCHAIN,$5.00,,COLOR SILVER GOLD,,
35,Foreign Fortune Pins,$10.00,"Our signature pins are a great addition to hats, shirt, bags, and more! Choose from 8 different styles!",Gold Color,,
36,Foreign Fortune Shades,$200.00,Our sunglasses are great for all occasions! We have two sizes with our logo plated on the side.,Small Large,,
37,Foreign All Over Socks,$40.00,Cotton knee length socks with our signature logo all over,One Size Fits All,White/Grey White/Pink White/Black White/Orange White/Purple White/Yellow White/Red,
